DevTypeMain	Country	LanguageWorkedWith	DatabaseWorkedWith	MiscTechWorkedWithMain	MiscTechWorkedWithSecondary1	MiscTechWorkedWithSecondary2	MiscTechWorkedWithSecondary3
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core		
Developer, full-stack	Canada	HTML/CSS	Firebase	Node.js	React Native		
Developer, front-end	United States	HTML/CSS		.NET	.NET Core	Node.js	
Database administrator	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	Ansible	Node.js		
Designer	Canada	JavaScript	MySQL	Node.js			
Data or business analyst	United States	C#	Microsoft SQL Server	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell		Hadoop	Node.js	TensorFlow	
Academic researcher	Poland	Assembly	Microsoft SQL Server	.NET	.NET Core		
Developer, front-end	India	C++	MySQL	Node.js	React Native		
Data scientist or machine learning specialist	France	Python	Cassandra	Node.js	Pandas	TensorFlow	Torch/PyTorch
Data or business analyst	India	HTML/CSS	Firebase	Node.js			
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	Node.js		
Developer, front-end	United Kingdom	HTML/CSS	MySQL	Unity 3D			
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Pandas			
Database administrator	United States	Bash/Shell/PowerShell	MariaDB	Ansible			
Database administrator	India	C	Firebase	Cordova	Hadoop	Node.js	React Native
Developer, full-stack	Brazil	C#	MongoDB	Pandas	React Native		
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET			
Data scientist or machine learning specialist	Italy	Bash/Shell/PowerShell	MongoDB	Apache Spark	.NET	.NET Core	Node.js
Database administrator	United States	HTML/CSS	Elasticsearch	Ansible	Chef	Node.js	
Data or business analyst	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Brazil	C#	MariaDB	.NET	Node.js	Xamarin	
Designer	United States	C++	Microsoft SQL Server	.NET	Node.js		
Developer, full-stack	United States	Bash/Shell/PowerShell	MariaDB	Node.js			
Database administrator	United States	C#	MySQL	.NET	.NET Core	Node.js	
Developer, back-end	Germany	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	C#	Microsoft SQL Server	.NET			
Developer, full-stack	Germany	Bash/Shell/PowerShell	Elasticsearch	Node.js	Pandas	Puppet	Torch/PyTorch
Developer, full-stack	United States	HTML/CSS		Node.js	Other(s):		
Developer, back-end	India	C	MongoDB	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell	MongoDB	Apache Spark	Hadoop	Node.js	Pandas
Developer, back-end	United States	Go	Redis	Node.js			
Developer, back-end	United States	Java	MySQL	Chef			
Developer, back-end	Netherlands	C#	Elasticsearch	Node.js	React Native		
Academic researcher	United States	Bash/Shell/PowerShell	PostgreSQL	Node.js	Pandas	TensorFlow	
Developer, back-end	France	Bash/Shell/PowerShell	MariaDB	Node.js			
Developer, back-end	Turkey	C#	Microsoft SQL Server	.NET	.NET Core	React Native	Unity 3D
Academic researcher	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, back-end	Netherlands	C#	Microsoft SQL Server	.NET			
Developer, back-end	Sweden	Bash/Shell/PowerShell	MongoDB	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell		Node.js			
Data or business analyst	United States	C#	Microsoft SQL Server	.NET			
Developer, full-stack	United States	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, back-end	Brazil	Bash/Shell/PowerShell	Firebase	Node.js			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	DynamoDB	Chef			
Developer, full-stack	United States	C++	DynamoDB	.NET	.NET Core	Node.js	
Developer, full-stack	France	C	Other(s):	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	MariaDB	Cordova	Node.js	Puppet	
Developer, back-end	Canada	Go	Couchbase	Ansible	Cordova	Unity 3D	
Data scientist or machine learning specialist	United Kingdom	Bash/Shell/PowerShell	Elasticsearch	Cordova	.NET Core	Node.js	React Native
Developer, full-stack	Netherlands	HTML/CSS	Couchbase	Node.js			
Developer, back-end	United States	C#	Microsoft SQL Server	.NET			
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	Xamarin
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	Firebase	Node.js			
Developer, back-end	United States	C	MongoDB	Unity 3D	Unreal Engine		
Developer, back-end	United States	Java	MariaDB	Ansible			
Developer, full-stack	United Kingdom	C#	Microsoft SQL Server	.NET			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET			
Developer, full-stack	Spain	Bash/Shell/PowerShell	Elasticsearch	Ansible	.NET	.NET Core	Node.js
Developer, full-stack	United States	Go	MariaDB	Node.js			
Data or business analyst	Canada	HTML/CSS	MySQL	Pandas	TensorFlow	Torch/PyTorch	
Developer, back-end	Italy	HTML/CSS	Elasticsearch	Node.js			
Developer, back-end	Poland	Assembly	Elasticsearch	Pandas			
Database administrator	United Kingdom	HTML/CSS	MariaDB	Ansible	Other(s):		
Developer, full-stack	Australia	C#	PostgreSQL	.NET	.NET Core		
Developer, back-end	United States	C#	Elasticsearch	.NET	.NET Core		
Developer, back-end	Germany	Bash/Shell/PowerShell		Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	Other(s):
Data scientist or machine learning specialist	United Kingdom	Bash/Shell/PowerShell	PostgreSQL	Pandas			
Data or business analyst	United Kingdom	SQL	Microsoft SQL Server	.NET			
Data or business analyst	United States	C#	MongoDB	.NET	.NET Core		
Developer, front-end	United Kingdom	HTML/CSS		Node.js			
Designer	United States	C	MongoDB	Other(s):			
Data scientist or machine learning specialist	Turkey	Assembly		TensorFlow	Torch/PyTorch		
Developer, back-end	Australia	Bash/Shell/PowerShell		Node.js	Unreal Engine		
Developer, full-stack	Australia		Microsoft SQL Server	.NET Core			
Developer, back-end	Germany	Bash/Shell/PowerShell		.NET	.NET Core	Unity 3D	
Developer, back-end	Australia	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	
Data or business analyst	Germany	Assembly	MariaDB	Chef	TensorFlow	Unreal Engine	
Developer, back-end	France	Assembly	MariaDB	.NET	.NET Core	Other(s):	
Developer, full-stack	Germany	Bash/Shell/PowerShell	MySQL	Ansible	Node.js		
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	Java	MongoDB	Chef			
Developer, back-end	India	C	MySQL	.NET Core			
Designer	India	C	Firebase	.NET	Node.js	Torch/PyTorch	
