DevTypeMain	Country	LanguageWorkedWith	DatabaseWorkedWith	MiscTechWorkedWithMain	MiscTechWorkedWithSecondary1	MiscTechWorkedWithSecondary2	MiscTechWorkedWithSecondary3
Developer, front-end	Greece	Bash/Shell/PowerShell	Firebase	Apache Spark	Node.js		
Data scientist or machine learning specialist	United States	Java	Elasticsearch	Apache Spark	Pandas	TensorFlow	
Developer, back-end	China	Go	Elasticsearch	Ansible	Node.js		
Developer, full-stack	United States	Bash/Shell/PowerShell	MariaDB	.NET	.NET Core	React Native	
Developer, back-end	France	HTML/CSS	Elasticsearch	Apache Spark			
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	MongoDB	Pandas	TensorFlow		
Academic researcher	India	C	Firebase	Flutter	.NET	.NET Core	Pandas
Developer, full-stack	Australia	HTML/CSS	MySQL	Node.js			
Academic researcher	Germany	Python		Pandas			
Developer, front-end	India	HTML/CSS	MySQL	Node.js			
Academic researcher	Australia	C#		.NET	.NET Core	Node.js	Unity 3D
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	React Native
Developer, back-end	United States	Bash/Shell/PowerShell	Firebase	.NET	.NET Core	Node.js	
Database administrator	United States	C#	MongoDB	.NET			
Developer, full-stack	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, full-stack	United Kingdom	C#	Microsoft SQL Server	.NET	Node.js		
Developer, back-end	Italy	Python	DynamoDB	Ansible	Pandas	Unity 3D	
Data scientist or machine learning specialist	Pakistan	Assembly	Microsoft SQL Server	Pandas	TensorFlow		
Developer, full-stack	United States	Bash/Shell/PowerShell	MySQL	Node.js	Puppet		
Developer, front-end	United Kingdom	HTML/CSS	PostgreSQL	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	MongoDB	Node.js			
Developer, full-stack	Canada	C	MongoDB	Node.js	React Native		
Developer, back-end	France	C	Couchbase	Node.js			
Developer, back-end	Russian Federation	C#	MongoDB	Node.js	Other(s):		
Data scientist or machine learning specialist	Canada	Go	DynamoDB	Node.js	Pandas	React Native	TensorFlow
Developer, full-stack	Brazil	C#	MySQL	.NET			
Academic researcher	Canada	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Node.js	TensorFlow
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	DynamoDB	.NET	.NET Core	Unity 3D	
Data scientist or machine learning specialist	Russian Federation	Bash/Shell/PowerShell	MySQL	Pandas	TensorFlow	Torch/PyTorch	
Developer, back-end	United States	Elixir	Elasticsearch	React Native			
Developer, front-end	Russian Federation	HTML/CSS		Node.js			
Developer, back-end	Canada	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core	Other(s):	
Developer, back-end	United States	C#	Microsoft SQL Server	.NET			
Developer, back-end	Ukraine	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	TensorFlow
Developer, back-end	France	HTML/CSS	MySQL	Node.js			
Developer, full-stack	France	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core	Unity 3D	
Designer	India	C#		.NET	.NET Core		
Academic researcher	United Kingdom	C++	MySQL	Ansible			
Developer, QA or test	Poland	Bash/Shell/PowerShell	MongoDB	Node.js			
Developer, back-end	China	C#	Microsoft SQL Server	Hadoop	.NET		
Developer, back-end	United States	Assembly		.NET	.NET Core		
Developer, back-end	Brazil	JavaScript	MySQL	React Native			
Developer, full-stack	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	Xamarin
Developer, full-stack	United Kingdom	C#	MariaDB	.NET	.NET Core	Xamarin	
Developer, full-stack	Australia	Bash/Shell/PowerShell	Microsoft SQL Server	Node.js			
Data or business analyst	United States	Bash/Shell/PowerShell	Oracle	TensorFlow			
Database administrator	United States	C#	Microsoft SQL Server	.NET			
Developer, back-end	Greece	C++	DynamoDB	Node.js			
Developer, front-end	France	Bash/Shell/PowerShell	Couchbase	Cordova	Flutter	Node.js	
Developer, back-end	Sweden	C#	Elasticsearch	.NET	.NET Core		
Developer, QA or test	United States	HTML/CSS	Firebase	Node.js			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET			
Developer, full-stack	Australia	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, full-stack	United States	JavaScript	Cassandra	Ansible			
Developer, front-end	Spain	HTML/CSS		Node.js			
Academic researcher	United States	Python		Pandas	TensorFlow		
Academic researcher	Canada	Bash/Shell/PowerShell	MongoDB	Node.js	React Native		
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, front-end	United States	C#	MongoDB	.NET	.NET Core		
Developer, full-stack	United Kingdom	C#		.NET Core	Node.js		
Developer, full-stack	Netherlands	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	India	C#	DynamoDB	.NET	.NET Core		
Academic researcher	United States	Assembly	PostgreSQL	Chef	Pandas		
Developer, back-end	Germany	Assembly	Cassandra	Cordova	Flutter	.NET	Node.js
Data or business analyst	United States	Python	Microsoft SQL Server	Pandas			
Data scientist or machine learning specialist	Canada	Bash/Shell/PowerShell	MongoDB	Node.js	React Native		
Data or business analyst	United States	Assembly	MariaDB	Chef	Node.js	Other(s):	
Database administrator	United States	Bash/Shell/PowerShell	DynamoDB	Node.js	Pandas	TensorFlow	
Academic researcher	Spain	HTML/CSS	Firebase	Node.js	React Native		
Developer, front-end	Netherlands	Bash/Shell/PowerShell	MongoDB	Ansible	Node.js	React Native	
Academic researcher	India	C	Elasticsearch	Hadoop	Pandas	React Native	TensorFlow
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	DynamoDB	Node.js	Puppet	TensorFlow	
Academic researcher	India	Python	Cassandra	Ansible			
Developer, back-end	India	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Turkey	Bash/Shell/PowerShell	MongoDB	Apache Spark	Node.js		
Developer, back-end	Germany	C#	Elasticsearch	.NET Core			
Academic researcher	Sweden	Bash/Shell/PowerShell		Pandas	TensorFlow	Torch/PyTorch	
Data or business analyst	Italy	Bash/Shell/PowerShell	DynamoDB	Pandas			
Developer, back-end	United States	C#	DynamoDB	.NET	Node.js		
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET			
Developer, back-end	United States	Python	Elasticsearch	Ansible	Apache Spark	Pandas	React Native
Developer, back-end	India	HTML/CSS	MongoDB	Ansible	Node.js		
Data or business analyst	United States	C	MariaDB	Node.js			
Database administrator	Italy	C	MySQL	Ansible	.NET	.NET Core	
Developer, front-end	United States	HTML/CSS	MariaDB	Node.js			
Developer, full-stack	France	Python	PostgreSQL	Ansible			
Developer, back-end	United States	C++	Elasticsearch	Hadoop	Node.js	TensorFlow	
Developer, back-end	Poland	HTML/CSS	MariaDB	Node.js	Unity 3D		
Developer, back-end	Netherlands	C#	Firebase	.NET	.NET Core	Xamarin	
Developer, back-end	United States	C#	Microsoft SQL Server	.NET			
Data or business analyst	Spain	HTML/CSS	MariaDB	Hadoop	Pandas	TensorFlow	
Database administrator	Ukraine	Bash/Shell/PowerShell	Cassandra	Ansible	Chef		
Designer	Brazil	HTML/CSS	Elasticsearch	Node.js			
Database administrator	Canada	C#	Microsoft SQL Server	.NET			
Developer, back-end	Germany	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	Canada	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Node.js	
Data or business analyst	Turkey	C#	MongoDB	.NET	Node.js		
Developer, front-end	Canada	HTML/CSS	MySQL	Node.js			
Developer, back-end	Pakistan	C#	MongoDB	.NET	Node.js		
Developer, back-end	United States	Bash/Shell/PowerShell	Cassandra	Ansible	Node.js	Puppet	
Developer, back-end	United States	Bash/Shell/PowerShell		Node.js			
Developer, front-end	India	HTML/CSS		Node.js			
Designer	United States	HTML/CSS	MySQL	Node.js			
Database administrator	Turkey	Assembly	Firebase	Cordova	.NET	.NET Core	Node.js
Developer, front-end	Germany	HTML/CSS	MySQL	Node.js			
Developer, full-stack	United States	Assembly		Node.js			
Developer, back-end	United Kingdom	Go	PostgreSQL	Ansible	Node.js	Other(s):	
Academic researcher	Australia	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	TensorFlow		
Developer, back-end	Canada	HTML/CSS	MySQL	Node.js			
Developer, back-end	Italy	C#	Microsoft SQL Server	.NET	Node.js	Xamarin	
Database administrator	United Kingdom	Bash/Shell/PowerShell	Elasticsearch	Ansible	Pandas		
Developer, back-end	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, back-end	Canada	C++	Cassandra	Flutter	Node.js	React Native	
Data scientist or machine learning specialist	United Kingdom	Bash/Shell/PowerShell	MariaDB	.NET	Pandas	Other(s):	
Developer, front-end	United States	HTML/CSS	Firebase	Node.js			
Developer, front-end	France	Bash/Shell/PowerShell	Firebase	Node.js			
Developer, back-end	Turkey	Go	MySQL	Node.js			
Developer, front-end	Germany	C#	MongoDB	.NET	Node.js		
Developer, back-end	United States	C++	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, front-end	United States	C	Firebase	Flutter	TensorFlow		
Academic researcher	India	Bash/Shell/PowerShell	Firebase	Apache Spark	Chef	Node.js	
Data or business analyst	Australia	HTML/CSS	MySQL	Pandas			
Developer, full-stack	United States	HTML/CSS	PostgreSQL	Node.js			
Developer, full-stack	Canada	HTML/CSS	Microsoft SQL Server	Ansible			
Developer, full-stack	United States	JavaScript	DynamoDB	Node.js			
Data or business analyst	Canada	Bash/Shell/PowerShell	PostgreSQL	Ansible			
Developer, front-end	India	HTML/CSS	MongoDB	Node.js			
Database administrator	Italy	Bash/Shell/PowerShell	DynamoDB	.NET	.NET Core	Node.js	
Developer, full-stack	Netherlands	Go	Elasticsearch	Unity 3D			
Developer, back-end	India	C++	MySQL	Node.js			
Developer, full-stack	United States	HTML/CSS	Elasticsearch	Node.js	Unity 3D		
Developer, full-stack	Germany	Bash/Shell/PowerShell	MariaDB	Node.js			
Developer, back-end	Greece	HTML/CSS	Microsoft SQL Server	Node.js			
Developer, back-end	France	Bash/Shell/PowerShell	DynamoDB	Hadoop	Node.js	Pandas	TensorFlow
Data or business analyst	Pakistan	C++	Microsoft SQL Server	.NET	.NET Core		
Academic researcher	Brazil	C#	Firebase	.NET	.NET Core	Node.js	
DevOps specialist	United States	Bash/Shell/PowerShell	Elasticsearch	Ansible	Chef		
Developer, back-end	Sweden	Bash/Shell/PowerShell	PostgreSQL	Node.js	Puppet	React Native	
Developer, full-stack	Brazil	HTML/CSS	MariaDB	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell		.NET	Unity 3D	Other(s):	
Data or business analyst	United States	Bash/Shell/PowerShell	MongoDB	Apache Spark	Pandas	TensorFlow	
Designer	United States	Bash/Shell/PowerShell	Cassandra	Cordova	Node.js	React Native	Xamarin
Academic researcher	United States	C#	MongoDB	Hadoop	Node.js	Pandas	TensorFlow
Database administrator	China	C	DynamoDB	Cordova	Flutter	.NET	.NET Core
Data or business analyst	United States	HTML/CSS	Microsoft SQL Server	Pandas	TensorFlow		
Data or business analyst	Netherlands	C#	Firebase	Cordova	.NET	Node.js	Xamarin
Developer, front-end	United States	C#	Firebase	.NET Core	Node.js		
Developer, back-end	United States	Bash/Shell/PowerShell	Other(s):	Other(s):			
Developer, front-end	United States	C#		.NET	.NET Core	Unity 3D	
Database administrator	Spain	C#	MongoDB	.NET	.NET Core	React Native	
Data scientist or machine learning specialist	Italy	Bash/Shell/PowerShell	MongoDB	Ansible	Node.js	Pandas	TensorFlow
Developer, back-end	Spain	Bash/Shell/PowerShell	Elasticsearch	Puppet			
Developer, front-end	United States	HTML/CSS	MySQL	Node.js	Other(s):		
Developer, full-stack	United Kingdom	C#	Microsoft SQL Server	.NET	Node.js		
Developer, front-end	India	Bash/Shell/PowerShell	Firebase	Node.js			
Database administrator	Spain	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, back-end	Italy	Bash/Shell/PowerShell	MariaDB	Node.js			
Developer, back-end	United States	C++	MariaDB	Unity 3D	Unreal Engine		
Developer, back-end	Spain	C#	MongoDB	.NET	Node.js		
Developer, full-stack	United States	Bash/Shell/PowerShell	Elasticsearch	Node.js	Puppet		
Academic researcher	Poland	Bash/Shell/PowerShell	MariaDB	Node.js	Unity 3D		
Designer	Poland	C++	Firebase	Cordova	Node.js	Unity 3D	
Data or business analyst	Turkey	C#		Unity 3D			
Academic researcher	Canada	Assembly	MariaDB	Cordova	.NET	.NET Core	Node.js
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	Node.js		
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, back-end	Germany	C	MariaDB	Node.js	Unity 3D		
Designer	India	C	Firebase	Flutter	Pandas	TensorFlow	Torch/PyTorch
Developer, back-end	India	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	India	HTML/CSS	Elasticsearch	Cordova	Node.js		
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Ansible	.NET	.NET Core	Node.js
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell	MongoDB	.NET	Node.js		
DevOps specialist	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Ansible	Chef	Node.js	
Developer, back-end	India	C++	MariaDB	.NET			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	Node.js		
Developer, back-end	Sweden	Bash/Shell/PowerShell	DynamoDB	Ansible	Node.js		
Data scientist or machine learning specialist	United States	Assembly	Cassandra	Ansible	Apache Spark	Hadoop	Node.js
Data or business analyst	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United Kingdom	C	PostgreSQL	Node.js			
Data or business analyst	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Designer	Canada	HTML/CSS		.NET	Node.js		
Developer, front-end	Brazil	HTML/CSS	MariaDB	Node.js			
Developer, back-end	India	HTML/CSS	MongoDB	Node.js			
Developer, full-stack	United States	C	DynamoDB	Apache Spark	.NET	.NET Core	Node.js
Data or business analyst	France	C++	MySQL	Apache Spark	Pandas		
DevOps specialist	Poland	Bash/Shell/PowerShell	Cassandra	Ansible			
Data scientist or machine learning specialist	United States	Java	Cassandra	Apache Spark	Node.js	TensorFlow	
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	United States	Assembly	Elasticsearch	Node.js			
Developer, back-end	Netherlands	Bash/Shell/PowerShell	MySQL	Node.js			
Database administrator	United States	Assembly	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Australia	C#	MariaDB	.NET	.NET Core		
Developer, front-end	United States	Bash/Shell/PowerShell	Firebase	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	Firebase	React Native			
Data scientist or machine learning specialist	Netherlands	Bash/Shell/PowerShell	Elasticsearch	Ansible	Hadoop	Node.js	Pandas
Developer, back-end	United States	HTML/CSS	MySQL	Apache Spark	Hadoop	Pandas	
Developer, back-end	Germany	C++	DynamoDB	Ansible	Hadoop	.NET	Unity 3D
Academic researcher	Brazil	Bash/Shell/PowerShell	MongoDB	Pandas			
Academic researcher	Spain	Bash/Shell/PowerShell	MySQL	.NET Core			
Developer, front-end	Turkey	Assembly	MySQL	Unity 3D			
Designer	Netherlands	C#	Microsoft SQL Server	.NET	.NET Core		
Academic researcher	United States	HTML/CSS	Elasticsearch	Apache Spark	Node.js	Pandas	TensorFlow
Developer, front-end	Brazil	C#	Microsoft SQL Server	.NET	.NET Core		
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Apache Spark	Hadoop	Node.js	Pandas
Developer, back-end	Netherlands	Bash/Shell/PowerShell	Microsoft SQL Server	Cordova	.NET		
Developer, full-stack	United States	C#	MongoDB	Node.js			
Academic researcher	India	Assembly	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Poland	C++	Microsoft SQL Server	.NET	Node.js		
Database administrator	United Kingdom	Bash/Shell/PowerShell	Cassandra	Node.js	Puppet		
Data or business analyst	Canada	C#	Microsoft SQL Server	.NET	.NET Core		
Database administrator	United States	Assembly	MongoDB	Unity 3D	Unreal Engine		
Data scientist or machine learning specialist	United Kingdom	Bash/Shell/PowerShell	Couchbase	Cordova	.NET	.NET Core	Xamarin
Developer, back-end	Canada	Bash/Shell/PowerShell	Cassandra	Node.js	Pandas	TensorFlow	
Developer, front-end	Germany	C	SQLite	Node.js			
Developer, front-end	United States	Bash/Shell/PowerShell	Firebase	Flutter	Node.js		
Database administrator	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, back-end	Poland	C#	Elasticsearch	.NET	.NET Core		
Data scientist or machine learning specialist	France	Python	PostgreSQL	Pandas			
Developer, back-end	Germany	C#	DynamoDB	.NET	.NET Core	Node.js	
Developer, back-end	India	C#	Microsoft SQL Server	Cordova			
Developer, front-end	China	C#	MongoDB	Cordova	.NET	.NET Core	Node.js
Database administrator	United Kingdom	Bash/Shell/PowerShell	DynamoDB	Cordova	.NET	Node.js	Unity 3D
Developer, full-stack	Canada	HTML/CSS	Oracle	Node.js			
Developer, full-stack	United States	HTML/CSS	PostgreSQL	Node.js			
Developer, back-end	Brazil	C#	Microsoft SQL Server	Cordova	.NET	.NET Core	
DevOps specialist	Greece	Python	MySQL	Ansible	Pandas	TensorFlow	
Developer, back-end	Netherlands	HTML/CSS	Cassandra	Node.js			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Firebase	Node.js	Pandas	React Native	TensorFlow
Database administrator	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Netherlands	Clojure	MySQL	Ansible	React Native	Other(s):	
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Apache Spark	Hadoop	Pandas	TensorFlow
Data or business analyst	United States	C#	Microsoft SQL Server	.NET			
Database administrator	India	Bash/Shell/PowerShell	DynamoDB	Node.js			
Developer, back-end	Canada	HTML/CSS	Elasticsearch	Pandas	Unreal Engine		
Academic researcher	United States	Assembly	MongoDB	Apache Spark	Hadoop	.NET	Node.js
Database administrator	Russian Federation	C#	Elasticsearch	.NET	.NET Core		
Developer, back-end	India	C	Firebase	.NET			
Developer, full-stack	France	C#	MongoDB	Cordova	.NET	.NET Core	Node.js
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	Node.js			
Developer, full-stack	India	Bash/Shell/PowerShell	Elasticsearch	Ansible	Node.js		
Database administrator	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	Puppet			
Data scientist or machine learning specialist	United States	Python	PostgreSQL	TensorFlow			
Designer	India	C	MySQL	.NET			
Developer, back-end	India	C++	Microsoft SQL Server	Node.js			
Developer, back-end	Greece	Python	Elasticsearch	Apache Spark	Pandas		
Designer	Poland	C#	MongoDB	.NET	.NET Core	Node.js	Unity 3D
Academic researcher	India	Bash/Shell/PowerShell	Cassandra	Hadoop	Node.js	TensorFlow	
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	MariaDB	Ansible			
Database administrator	Sweden	HTML/CSS	MySQL	Other(s):			
Developer, back-end	Italy	C++	Microsoft SQL Server	.NET			
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	MongoDB	Pandas			
Developer, back-end	Canada	Bash/Shell/PowerShell	Firebase	.NET	.NET Core	Node.js	
Data scientist or machine learning specialist	United States	C#	MongoDB	Hadoop	.NET	.NET Core	Pandas
